Health Center Name,Site Address,Site Web Address,Site Telephone Number,Organization Email Address,,Site City,Site State,Site Zip Code,Latitude,Longitude
"HARBOR HOMES, INC.",615 Amherst St,,603-882-3616,m.lavalley@nhpartnership.org,,Nashua,NH,03063-1052,-71.53877565,42.80195848
"Bronx Community Health Network, Inc",240 E 172nd St,www.montefiore.org,718-293-7200,dagu@bchnhealth.org,,Bronx,NY,10457-8903,-73.91117234,40.8400256
"Sunset Park Health Council, Inc.",60 Cook St,,718-384-7128,,,Brooklyn,NY,11206-4006,-73.94141265,40.70261804
"Alcona Citizens For Health, Inc.",240 E 4th St,,989-731-0856,,,Gaylord,MI,49735-1233,-84.67150056,45.02369553
BIGHORN VALLEY HEALTH CENTER INC,503 Central Ave W,www.onechc.org,406-357-2294,,,Harlem,MT,59526,-108.7922384,48.53536373
"La Clinica Del Valle Family Health Care Center, Inc.",221 W Stewart Ave,,541-535-6239,,,Medford,OR,97501-3609,-122.865169,42.31284253
"THUNDER BAY COMMUNITY HEALTH SERVICE, INCORPORATED",13131 Brook St,tbchs.org,231-525-8201,,,Wolverine,MI,49799-8406,-84.6067667,45.27180908
San Francisco Community Clinic Consortium,1525 Silver Ave,,415-657-1700,,,San Francisco,CA,94134-1229,-122.4063975,37.73223211
North Texas Area Community Health Centers Inc,2332 Beverly Hills Dr,www.ntachc.org,817-625-4254,swillis@ntachc.org,,Fort Worth,TX,76114-1756,-97.39458777,32.79481408
"WomenCare, Inc.",100 Florida St,www.familycarewv.org,304-414-4015,,,Charleston,WV,25302-1131,-81.66164345,38.36506287
LIVINGSTONE COMMUNITY DEVELOPMENT CORPORATION,12362 Beach Blvd STE 10,,714-248-9500,park_kyungil@hotmail.com,,Stanton,CA,90680-3944,-117.9927473,33.78298812
"Multnomah, County of",33 NW Broadway Ste 380,//multco.us,503-988-5770,,,Portland,OR,97209-3580,-122.6774936,45.52347711
"MANCHESTER, CITY OF",1528 Elm St,www.manchesternh.gov,603-663-8716,,,Manchester,NH,03101-1356,-71.46420672,42.99952304
"SOUTHEAST MISSISSIPPI RURAL HEALTH INITIATIVE, INC.",1016 Highway 42,www.semrhi.com,601-758-4214,houston.ernst@semrhi.com,,Sumrall,MS,39482-9634,-89.55649627,31.41287906
Cahaba Medical Care Foundation,1308 Tuscaloosa Ave SW,www.cahabamedicalcare.com,205-679-6325,,,Birmingham,AL,35211-1948,-86.85432466,33.49276326
"FAMILY HEALTH CENTERS, INC.",558 Chestnut St,www.myfhc.org,803-874-2006,shasonda.amous@myfhc.org,,Saint Matthews,SC,29135-8104,-80.79108255,33.65975495
SUNRISE COMMUNITY HEALTH,1250 N Wilson Ave,sunrisecommunityhealth.org,970-353-9403,,,Loveland,CO,80537-4461,-105.1103303,40.40609803
AltaMed Health Services Corporation,3820 Martin Luther King Jr Blvd,www.altamed.org,310-632-0415,,,Lynwood,CA,90262-3625,-118.1977318,33.927621
Family Healthcare Network,682 E Visalia Rd,www.fhcn.org,559-737-4700,,,Farmersville,CA,93223-1641,-119.2009536,36.29776003
Cornell Scott-Hill Health Corporation,514 Whalley Ave,www.cornellscott.org,203-389-2970 x1317,,,New Haven,CT,06511-2907,-72.95028229,41.31978227
Sac Health System,332 W Hobsonway,,909-382-7100,stadavis@sachealthsystem.org,,Blythe,CA,92225-1640,-114.6002299,33.61017276
"JWCH Institute, Inc.",515 E 6th St,http://www.jwchinstitute.org/clinic_weingart.htm,213-622-2639,,,Los Angeles,CA,90021-1009,-118.2448982,34.04207229
Santa Barbara Neighborhood Clinics,915 N Milpas St,www.sbclinics.org,844-594-0343,,,Santa Barbara,CA,93103-2331,-119.6910212,34.43043465
Winding Waters Medical Clinic,507 S River St,www.windingwaters.org,541-263-5170,,,Enterprise,OR,97828-1601,-117.277368,45.42133633
NEIGHBORHOOD HEALTHCARE,635 N Hickory St,,760-520-8300,rakeshp@nhcare.org,,Escondido,CA,92025-1917,-117.0785154,33.1290537
"Blue Ridge Community Health Services, Inc.",2775 Hendersonville Rd,,828-694-8900,,,Arden,NC,28704-0060,-82.50678245,35.44372729
LIVINGSTON COMMUNITY HEALTH,12633 Bentley St,http://www.visitlch.org,209-850-3500,,,Waterford,CA,95386-9011,-120.7609254,37.64095155
NEW HEALTH PROGRAMS ASSOCIATION,509 E Main Ave,www.newhp.org,509-935-6001,,,Chewelah,WA,99109-8964,-117.7103293,48.27630039
HO-OLA LAHUI HAWAII INC,2975 Haleko Rd Ste 309,,808-240-0113,,,Lihue,HI,96766-1366,-159.372063,21.97378151
Philadelphia Fight,500 Wolf St,,215-985-4448,jvirella@fight.org,,Philadelphia,PA,19148,-75.15568701,39.91996421
Penobscot Community Health Center,74 Parkway S,,207-989-7300,,,Brewer,ME,04412-1628,-68.75460916,44.78134215
"PREMIER COMMUNITY HEALTHCARE GROUP, INC.",6719 Gall Blvd,www.premierhc.org,352-518-2000,jresnick@hcnetwork.org,,Zephyrhills,FL,33542-2571,-82.18824749,28.25524301
CHOTA COMMUNITY HEALTH SERVICES,268 Warren St,,423-442-1444,lharris@chotahealth.org,,Madisonville,TN,37354-1050,-84.36887639,35.52024481
LAWNDALE CHRISTIAN HEALTH CENTER,3256 W 24th St,www.lawndale.org,872-588-3000,,,Chicago,IL,60623-3407,-87.70688294,41.8481917
"Health & Human Services, North Carolina Department Of",311 Ashe Ave,www.ncfhp.org,919-733-2040 x231,,,Raleigh,NC,27606-2102,-78.65944497,35.77805798
"New Horizon Family Health Services, Inc",111A Berry Ave,,864-801-2035,,,Greer,SC,29651-1307,-82.2233295,34.94627447
"Community Health Center, Incorporated",45 Westminster Rd Rm 229,,860-546-9461,mark@chc1.com,,Canterbury,CT,06331-1538,-71.97709445,41.69772626
BIGHORN VALLEY HEALTH CENTER INC,10 4th St W STE B,www.bighornvalley.org,406-665-4103,,,Hardin,MT,59034-1804,-107.6064369,45.73234957
"COVERED BRIDGE HEALTHCARE OF ST. JOSEPH COUNTY, INC.",658 E Main St,cbhsjc.org,269-467-3228,stacy@coveredbridgehealth.org,,Centreville,MI,49032-9627,-85.51384142,41.92311962
"Lakeshore Community Health Care, Inc",2926 N 10th St Rm 104,,920-495-3600,,,Sheboygan,WI,53083-4005,-87.71626527,43.77547919
"Walnut Street Community Health Center, Inc.",201 S Cleveland Ave,www.familyhch.org,301-745-3777,laura.wilson@familyhch.org,,Hagerstown,MD,21740-5745,-77.71067388,39.63584094
"SOUTHEAST MISSISSIPPI RURAL HEALTH INITIATIVE, INC.",200 W Main St Bldg 2,,601-722-4510,houston.ernst@semrhi.com,,Seminary,MS,39479-9031,-89.49872454,31.56173061
"Sun River Health, Inc.",15 Mount Ebo Rd S,,845-278-6930,,,Brewster,NY,10509-4004,-73.57349874,41.43458324
"NEIGHBORHOOD HEALTH ASSOCIATION OF TOLEDO, INC.",225 N Irwin Rd,www.nhainc.org,567-703-8985,,,Holland,OH,43528-9745,-83.77892996,41.63325614
COMMUNITY HEALTH CLINICS INC,201 W Main St,www.trhs.org,208-896-4159,,,Marsing,ID,83639,-116.8054761,43.5460826
"Compass Health, Inc.",204 N Cedar St,,844-853-8937,,,Nevada,MO,64772-2310,-94.35652564,37.83944445
"Migrant Health Center Western Region, Inc.",6.1 Carr 100,www.migrantspr.com,787-254-0816,mhc@migrantspr.com,,Pedernales,PR,623,-67.15444464,18.06366417
CARE SOUTH CAROLINA INC,1268 S 4th St,www.caresouth-carolina.com,843-332-3422,,,Hartsville,SC,29550-0703,-80.0601117,34.35796417
ELICA HEALTH CENTERS,155 15th St,,916-454-2345,tbak@elicahealth.org,,West Sacramento,CA,95691-3737,-121.5260038,38.57104663
PEOPLES COMMUNITY CLINIC,10335 US Highway 290 E,,512-278-4462,,,Manor,TX,78653-4686,-97.57244648,30.34569863
"Scranton Primary Health Care Center, Inc.",406 N Washington Ave,www.scrantonprimary.org,570-344-9684,,,Scranton,PA,18503-1306,-75.66056857,41.41071405
"Grace Community Health Center, Inc.",100 Panther Way,gracechc.com,606-546-9253,michael.stanley@gracehealthky.org,,Barbourville,KY,40906-8038,-83.83167894,36.86953717
"NEIGHBORHEALTH CENTER, INC.",2605 Blue Ridge Rd STE 225,,984-222-8000,Dlipparelli@neighborhealthcenter.org,,Raleigh,NC,27607-6459,-78.70519197,35.81643968
ONEWORLD COMMUNITY HEALTH CENTERS INC,1001 Fort Crook Rd N STE 250,,402-680-3946,askolkin@oneworldomaha.org,,Bellevue,NE,68005-4290,-95.9268017,41.17772569
Mercy Medical Health Center,244 Bond St,,318-259-1100,mercymedical2017@gmail.com,,Jonesboro,LA,71251-5334,-92.68992309,32.23752204
North Penn Comprehensive Health Services,6 Riverside Plz,N/A,570-638-2174,,,Blossburg,PA,16912-1137,-77.06564293,41.67976728
"Pennyroyal Healthcare Services, Inc.",310 Hawthorne St,,270-365-0227,jdrake@communitymedicalclinic.org,,Princeton,KY,42445-1622,-87.87869734,37.10998573
"PINELLAS, COUNTY OF",14808 49th St N,,727-453-7866,,,Clearwater,FL,33762-2835,-82.70073826,27.90621616
RICHLAND MEDICAL CLINIC INC,112 E Mcclurg Ave,www.centralozarks.org,620-765-5131,,,Richland,MO,65556-7601,-92.40477761,37.85685965
PROJECT VIDA HEALTH CENTER,3216 Tim Foster St,,915-533-7057,,,El Paso,TX,79938,-106.2251462,31.79103324
PUEBLO COMMUNITY HEALTH CENTER,328 Avondale Blvd,http://www.pueblochc.org,719-947-3344,,,Avondale,CO,81022-5005,-104.3498849,38.2379441
"SCENIC BLUFFS HEALTH CENTER, INC",540 Coe St Rm 140,,608-654-5100,sbarker@scenicbluffs.org,,Cashton,WI,54619-2022,-90.7802248,43.74085225
"Cumberland Family Medical Center, Inc.",2819 N Highway 27,,606-376-2690,tantle@cfmcky.com,,Whitley City,KY,42653-4045,-84.48813183,36.81002626
"RIVER HILLS COMMUNITY HEALTH CENTER, INC.",4045 Ashland Rd,,641-652-7531,,,Eldon,IA,52554-8037,-92.237577,40.96042761
Tri-Cities Community Health,515 W Court St,http://www.mytcch.org/,509-547-2204,,,Pasco,WA,99301-3737,-119.096131,46.24131746
"FAMILY HEALTH CARE CLINIC, INC.",1307 Airport Rd N,familyhealthcareclinic.com,601-936-3485,,,Flowood,MS,39232-8897,-90.09122725,32.33006152
MCR HEALTH INC,300 Riverside Dr E STE 2600,,941-776-4000,pcarnegie@mcrhs.org,,Bradenton,FL,34208-1006,-82.56046535,27.49834345
"Access Family Health Services, Inc.",404 Dr Howard Gunn St,,662-447-2362,,,Okolona,MS,38860-1015,-88.75845997,34.01506999
NEW YORK CITY HEALTH AND HOSPITALS CORPORATION,59-17 Junction Blvd,,718-334-6300,,,Corona,NY,11368,-73.86456125,40.73468728
"South County Community Health Center, Inc.",1796 Bay Rd Bldg 2,,650-330-7400,lbuada@ravenswoodfhc.org,,East Palo Alto,CA,94303-1611,-122.1358188,37.47165911
"CENTRO DE SALUD DE LA COMUNIDAD DE SAN YSIDRO, INC.",875 El Cajon Blvd,www.syhealth.org,619-662-4100,,,El Cajon,CA,92020-5714,-116.9769615,32.78539957
"ALIVIO MEDICAL CENTER, INC",1940 W 18th St,,773-254-1400,,,Chicago,IL,60608-1903,-87.67509487,41.85771558
"FETTER HEALTH CARE NETWORK, INC.",771 Brownswood Rd,,843-722-4112,natasha_chatman@fetterhealthcare.org,,Johns Island,SC,29455-3239,-80.07120666,32.76494467
Caring Hands Healthcare Centers Inc,200 S 3rd St STE B,www.chhcok.com,918-558-2908,,,McAlester,OK,74501-5447,-95.76687934,34.929134
"Neighborhood Health Center, INC",808 S A St,neighborhoodhc.org,765-598-4300,carrie.miles@neighborhoodhc.org,,Richmond,IN,47374-5574,-84.89124623,39.82730452
PCC COMMUNITY WELLNESS CENTER,14 Lake St,www.pccwellness.org,708-383-0113,deleted@deleted.com,,Oak Park,IL,60302-2606,-87.7755514,41.88806637
INFINITY HEALTH,102 N Dekalb St,http://chcsi.org/,641-446-2383,,,Corydon,IA,50060-1403,-93.32039752,40.75789799
"Chiricahua Community Health Centers, Inc.","155 Calle Portal, Ste 300",www.cchci.org,520-459-1200,,,Sierra Vista,AZ,85635-2900,-110.2669325,31.55272898
"Family Health Center Of Marshfield, Inc.",315 Miner Ave W,NA,715-532-2500,,,Ladysmith,WI,54848-1725,-91.10435534,45.46424023
"Lowell Community Health Center, Inc.",161 Jackson Street,www.lchealth.org,978-937-9700,,,Lowell,MA,01852-2103,-71.31037633,42.64224198
Family Health Center Inc.,505 E Alcott St,www.fhckzoo.com,269-349-2641,,,Kalamazoo,MI,49001-6144,-85.57464367,42.27051531
"Community Healthcare Network, Inc.",2581 Atlantic Ave FL 1,http://www.chnnyc.org/,212-545-2400,,,Brooklyn,NY,11207-2412,-73.89910919,40.67580391
Oakland Integrated Healthcare Network,114 Orchard Lake Rd,www.honorcommunityhealth.org,248-724-7600,cduncanson@honorcommunityhealth.org,,Pontiac,MI,48341-2244,-83.29559598,42.63455054
"CENTRO DE SALUD DE LA COMUNIDAD DE SAN YSIDRO, INC.",1388 Buckman Springs Rd,,619-662-4100,,,Campo,CA,91906-2028,-116.4728999,32.63013056
GEORGIA HIGHLANDS MEDICAL SERVICE INC,775 West Ave Ste A,http:\\www.ghms-inc.org,770-887-1668,,,Cartersville,GA,30120-3482,-84.81422224,34.15866553
"Sunset Park Health Council, Inc.",1580 Dean St,,718-604-6914,,,Brooklyn,NY,11213-1713,-73.93495674,40.67589523
YAKIMA NEIGHBORHOOD HEALTH SERVICES,402 S 4th Ave Ste 1,www.ynhs.org,509-575-5553,,,Yakima,WA,98902-3546,-120.5116021,46.59521437
"Community Clinical Services, Inc.",60 Second St,www.communityclinicalservices.com,207-755-3456,celias@stmarysmaine.com,,Auburn,ME,04210-6853,-70.22119939,44.08707418
Common Ground Health Clinic,441 Wall Blvd,,504-361-9800,bwilliams@commongroundclinic.org,,Gretna,LA,70056-7723,-90.03031344,29.87775709
Penobscot Community Health Center,9 Alumni Dr,,207-866-7011,,,Orono,ME,04473-3479,-68.68971839,44.86922569
"Compass Health, Inc.",19515 Brune Pkwy,,636-456-5014,,,Warrenton,MO,63383-6505,-91.1472147,38.79960013
Care For The Homeless,9023 161st St,N/A,718-709-5054,,,Jamaica,NY,11432-6107,-73.79891653,40.70483434
PORTLAND COMMUNITY HEALTH,4 Church Ave,,207-766-2528,,,Portland,ME,04108-1157,-70.1969047,43.66061765
"Operation Samahan, Inc.",2101 Granger Ave STE 101A,www.operationsamahan.org,619-434-9675,eprimero@samahanhealth.org,,National City,CA,91950-6208,-117.0738547,32.67265537
"COMMUNITY HEALTH CENTERS OF BURLINGTON, INC.",789 Pine St,,802-864-0693,,,Burlington,VT,05401-4924,-73.21434852,44.45751729
East Tennessee State University,391 Court Sq,n/a,423-733-2121,eckertw@etsu.edu,,Sneedville,TN,37869-3860,-83.21927327,36.53263445
Black River Health Services Inc,109 W Church St,www.blackriverhealth.org,910-283-7783,lamann@blackriverhealth.org,,Atkinson,NC,28421-9230,-78.17086623,34.52776221
"CHERRY STREET SERVICES, INC.",550 Cherry St SE,www.cherryhealth.org,616-235-7272,,,Grand Rapids,MI,49503-4748,-85.65460887,42.95937167
"Centerville Clinics, Incorporated",100 Wilson Rd,www.centervilleclinics.com,724-239-2390,,,Bentleyville,PA,15314-1028,-80.00309011,40.12778532
MCR HEALTH INC,6040 State Road 70 E Unit B,www.mcrhs.org,941-776-4000,pcarnegie@mcrhs.org,,Bradenton,FL,34203-9720,-82.48364898,27.445186
NORTHLAND HEALTH PARTNERS COMMUNITY,416 Kundert St,www.northlandchc.org,701-448-9225,,,Turtle Lake,ND,58575-4205,-100.8947847,47.51875517
"Sun River Health, Inc.",50 S Brookside Ave,,516-571-8600,,,Freeport,NY,11520-3144,-73.60212051,40.65451325
"Coastal Family Health Center, Inc.",4336 High School Rd,,601-989-3105,,,Leakesville,MS,39451-2584,-88.60112709,31.14086562
SAINT JAMES HEALTH INC,457 Clinton Ave,saintjameshealth.com,973-789-8111,,,Newark,NJ,07108-2227,-74.19866466,40.72115914
Piedmont Access to Health Services Inc,287 Commonwealth Blvd W,www.pathsinc.org,276-632-2966,mmendenhall@pathsinc.org,,Martinsville,VA,24112-1820,-79.88220564,36.69697684
"FAMILY HEALTH CARE CLINIC, INC.",100 N Brooks St,www.familyhealthcareclinic.com,601-854-6805 x5003,,,Pelahatchie,MS,39145,-89.79889575,32.31326198
WAYNE COMMUNITY HEALTH CENTERS INC,65 N Center St,waynechc.org,435-425-3744,darci@waynechc.org,,Escalante,UT,84726-7713,-111.6002856,37.77131435
"Migrant Health Center Western Region, Inc.",23 Calle La Montalva,www.migrantspr.com,787-821-4511,mhc@migrantspr.com,,Montalva,PR,647,-66.93836634,17.96625288
FAMILY HEALTH CENTERS OF SAN DIEGO INC,1809 National Ave,www.fhcsd.org,619-515-2300,,,San Diego,CA,92113-2113,-117.1465458,32.70165262
"East Liberty Family Health Care Center, Inc.",6023 Harvard St,WWW.ELFHCC.com,412-661-2802,,,Pittsburgh,PA,15206-3053,-79.92314411,40.46278882
COMMUNITY HEALTH CARE,1148 Broadway STE 100,,253-597-4550,,,Tacoma,WA,98402-3518,-122.4397947,47.25180673
"ALAMEDA, COUNTY OF",8452 Edes Ave,,510-891-8950,,,Oakland,CA,94621-1306,-122.1947002,37.74072113
"Comprehensive Community Health Centers, Inc.",1704 Colorado Blvd,www.cchccenters.org,323-256-4116,davidlo@cchccenters.org,,Los Angeles,CA,90041-1338,-118.203892,34.13930253
"Vna Health Care, An Illinois Not-for-profit Corporation",620 Wing St,www.vnahealth.com,847-717-6455,,,Elgin,IL,60123-2800,-88.29456865,42.04520656
NEW HEALTH PROGRAMS ASSOCIATION,114 S Main St,www.newhp.org,509-258-4234,,,Springdale,WA,99173-9740,-117.7414639,48.05514497
"Health Help, Incorporated",116 Progress Dr,www.whitehouseclinics.com,606-256-2143,,,Mount Vernon,KY,40456-8590,-84.34741997,37.31291001
FAMILY HEALTH SERVICES,621 N Main St,,208-725-3145,satkinson@fhsid.org,,Bellevue,ID,83313-5093,-114.2637386,43.47057975
All Care Health Center,1435 N 15th St,www.allcarehealthcenter.org,712-325-1990,,,Council Bluffs,IA,51501-1133,-95.86588253,41.27457908
CENTRAL COUNTIES HEALTH CENTERS,1141 N Cheney St,,217-788-2300,mrodgers@centralcounties.org,,Taylorville,IL,62568-2741,-89.30699313,39.56074839
OLE Health,1141 Pear Tree Ln STE 100,www.clinicole.org,707-254-1770,,,Napa,CA,94558-6485,-122.2921261,38.32126294
"Walnut Street Community Health Center, Inc.",201 S Cleveland Ave,www.familyhch.org,301-745-3777,laura.wilson@familyhch.org,,Hagerstown,MD,21740-5745,-77.71067388,39.63584094
HEART OF TEXAS COMMUNITY HEALTH CENTER INC,1600 Providence Dr,www.wacofhc.org,254-750-8200,mpolk@wacofhc.org,,Waco,TX,76707-2261,-97.15436478,31.55891767
EL CENTRO FAMILY HEALTH,Industrial Park Rd,www.ecfh.org,505-929-1629,,,Espanola,NM,87532,-106.096595,36.008248
DENA' NENA' HENASH,,www.tananachiefs.org,907-452-8251 x3537,jacoline.bergstrom@tananachiefs.org,,Koyukuk,AK,99754,-157.703095,64.88035
Mountain Peoples Health Councils Inc,470 Industrial Ln,,423-286-4141,phillipsk@mphci.com,,Oneida,TN,37841-6294,-84.52455372,36.50000006
"Rural Health Care, Incorporated",250 State Road 207,www.azahealth.org,904-824-3322,,,St Augustine,FL,32084-0997,-81.3293833,29.87728879
Camarena Health,720 E Almond Ave,www.camarenaheatlh.org,559-664-4000,nancynetherland@gmail.com,,Madera,CA,93637-5691,-120.0497336,36.94545525
"Nevada Health Centers, Inc.",925 Wells Ave,www.nvhealthcenters.org,775-664-2220,dtoney@nvhealthcenters.org,,West Wendover,NV,89883-4889,-114.0751175,40.73970398
"Opportunities Industrialization Center, Incorporated",402 E Virginia St,www.oicone.org,252-977-3730,,,Rocky Mount,NC,27801-3454,-77.78744966,35.9510807
"Southside Medical Center, Inc.",660 McWilliams Rd SE,,404-688-1350,dwilliams@smcmed.com,,Atlanta,GA,30315-7544,-84.366797,33.68878743
JESSIE TRICE COMMUNITY,7330 W 32nd Ave,www.jtchs.org,305-825-2122,jjlawrence@jtchc.org,,Hialeah,FL,33018-5211,-80.34784425,25.8880317
"FAMILY HEALTH CENTERS, INC.",450 Old Swamp Rd,,803-655-2746,shasonda.amous@myfhc.org,,Swansea,SC,29160-8390,-80.94092592,33.81251635
"FAMILY HEALTH CENTERS OF SOUTHWEST FLORIDA, INC.",4040 Palm Beach Blvd STE A,www.fhcswf.org,239-344-2304,,,Fort Myers,FL,33916-3470,-81.83144832,26.66527099
"Wheeler Clinic, Inc.",480 Wolcott St,www.wheelerclinic.org,860-793-3500 x86078,,,Bristol,CT,06010-6497,-72.960935,41.66227399
"Southwest Colorado Mental Health Center, Inc.",2530 Colorado Ave Unit 1A,,970-335-2442,,,Durango,CO,81301-4761,-107.8648555,37.29019929
Primary Health Services Center,2913 Desiard St,N/A,318-322-9224,,,Monroe,LA,71201-7207,-92.08747245,32.51946395
DENVER HEALTH AND HOSPITALS AUTHORITY,4800 Telluride St,,720-423-7610,patricia.braun@dhha.org,,Denver,CO,80249-6803,-104.7816277,39.78482231
Venice Family Clinic,2114 Artesia Blvd,sbfhc.org,310-802-6177,,,Redondo Beach,CA,90278-3014,-118.373522,33.87275252
"KOREAN HEALTH, EDUCATION, INFORMATION AND RESEARCH CENTER",3727 W 6th St STE 200,http://www.lakheir.org,213-235-2500,,,Los Angeles,CA,90020-5108,-118.3037749,34.06358247
CARECONNECT HEALTH INC,340 Veterans Pkwy N STE 9-11,,229-891-3513,,,Moultrie,GA,31788-4171,-83.76168121,31.186241
"CLACKAMAS, COUNTY OF",14486 SE 122nd Ave Rm B101A,https://www.clackamas.us/healthcenters,503-722-6885,,,Clackamas,OR,97015-8269,-122.534674,45.41829101
Neighborcare Health,1200 12th Ave S STE 401,www.neighborcare.org,206-548-3058,,,Seattle,WA,98144-2730,-122.3172327,47.5929004
"Hopewell Health Centers, Inc.",2541 Panther Dr NE,www.hopewellhealth.org,740-342-4192,,,New Lexington,OH,43764-9081,-82.20918599,39.72583098
Los Angeles Christian Health Centers,601 S San Pedro St,www.lachc.com,213-624-9258,,,Los Angeles,CA,90014-2415,-118.24562,34.04186894
"OPTIMUS HEALTH CARE, INC.",500 Palisade Ave,,203-579-6333,amcgoldrick@opthc.org,,Bridgeport,CT,06610-3458,-73.1649579,41.1994802
"Nevada Health Centers, Inc.",175 E Carson St,www.nvhealthcenters.org,800-787-2568,dtoney@nvhealthcenters.org,,Virginia City,NV,89440,-119.6453709,39.31415046
WellSpace Health,2425 Alhambra Blvd,,916-737-5555,,,Sacramento,CA,95817-1110,-121.4718731,38.55626837
"WHITNEY M. YOUNG, JR., HEALTH CENTER, INC.",700 Washington Ave,,518-465-4771,,,Albany,NY,12203-1404,-73.78290332,42.66697296
COLUMBIA VALLEY COMMUNITY HEALTH,1510 9th St,www.cvch.org,509-663-7947,,,Wenatchee,WA,98801-1656,-120.3400918,47.43275416
